,Gender,Age Group,Ethnicity,Country,Diversity Issue,Microaggressions,Paid Parental Leave,Salary Parity,Technical Skills,New Team Addition,Recruiting Technologists,Overload of Projects,Educational Background,Self-study,Mentorship,Non-technical,Primary Role,Skills Sources
121,f,3,,0,0,0,,,1,,,,1,1,1,1,3,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
122,f,2,,0,0,1,,,1,1,1,1,1,1,1,0,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
123,m,3,,0,0,0,,,1,,,,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Past and current on-the-job training/learning"
124,m,3,,0,0,1,1,0,1,0,1,1,0,1,0,0,1,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
125,f,3,1,1,0,0,,,1,,,,0,0,1,1,1,Mentored by another professional
126,f,2,,0,1,0,,,0,,,,1,1,0,0,1,Self-taught (e.g. studied on my own)
127,m,1,,0,0,0,,,1,,,,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional"
128,f,3,1,1,0,0,,,,,,,1,1,0,0,3,"Self-taught (e.g. studied on my own),Undergraduate degree,Graduate school degree,Past and current on-the-job training/learning"
129,f,3,1,1,,1,1,0,1,0,0,0,1,1,0,1,3,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
130,f,2,1,1,0,0,,,,,,,1,0,0,0,3,Past and current on-the-job training/learning
131,m,1,8,1,1,0,,,0,,,,1,1,1,0,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Graduate school degree,Past and current on-the-job training/learning"
132,f,2,1,1,,0,,,0,,,,0,0,0,0,1,"Graduate school degree,Past and current on-the-job training/learning"
133,f,3,1,1,,0,0,1,0,0,0,1,1,1,0,0,0,"Self-taught (e.g. studied on my own),Graduate school degree,Past and current on-the-job training/learning"
134,m,2,1,1,0,0,0,0,0,1,1,1,0,1,1,0,3,"Self-taught (e.g. studied on my own),Mentored by another professional"
135,m,1,1,1,0,0,,,1,,,,0,1,0,0,0,Self-taught (e.g. studied on my own)
136,m,2,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
137,m,1,,0,,0,0,0,,,1,1,0,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
138,f,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,3,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
139,f,1,1,1,,1,0,0,1,0,1,1,0,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree"
140,f,3,1,1,,0,,,0,,,,1,1,1,1,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
141,f,2,8,1,,1,0,0,0,,0,0,0,1,1,1,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Graduate school degree,Past and current on-the-job training/learning"
142,f,1,1,1,0,0,,,1,,,,0,1,0,1,1,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
143,f,1,2,1,1,1,1,1,1,,0,1,1,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Past and current on-the-job training/learning"
144,f,3,3,1,1,1,1,0,1,0,0,0,0,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
145,f,1,1,1,1,0,1,0,1,,1,1,0,1,1,0,1,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
146,m,1,,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
147,f,1,,0,0,0,1,0,,,0,0,0,1,1,0,2,"Self-taught (e.g. studied on my own),Mentored by another professional"
148,m,2,1,1,0,0,,,1,,,,0,1,0,0,0,"Self-taught (e.g. studied on my own),Undergraduate degree"
149,f,1,1,1,,1,1,0,,0,0,1,0,1,1,0,3,"Self-taught (e.g. studied on my own),Mentored by another professional"
150,f,1,4,1,,1,0,0,,,,,0,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Past and current on-the-job training/learning"
151,m,2,,0,,0,0,0,0,1,1,1,1,1,0,0,0,Self-taught (e.g. studied on my own)
152,f,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Past and current on-the-job training/learning"
153,f,3,1,1,0,1,1,0,1,0,0,1,1,1,1,0,2,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Past and current on-the-job training/learning"
154,f,1,1,1,0,1,1,0,,0,0,0,0,1,1,0,0,"Self-taught (e.g. studied on my own),Mentored by another professional,Undergraduate degree,Past and current on-the-job training/learning"
155,m,2,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
156,f,2,1,1,,0,1,0,,,0,0,1,1,0,0,3,"Self-taught (e.g. studied on my own),Past and current on-the-job training/learning"
